IDN5,NM5
814610,Nebojsa
814628,Galovany
814636,Brakoň
814644,Gáň
814652,Filice
814661,Gánovce
814679,Gbeľany
814687,Gbelce
814717,Gbely
814733,Geča
814741,Gelnica
814865,Gemer
814881,Gemerček
814903,Gemerská Hôrka
814911,Gemerská Panica
814938,Gemerská Poloma
814954,Gemerská Ves
814971,Gemerské Dechtáre
814989,Gemerské Michalovce
814997,Gemerský Milhosť
815004,Jelšavská Teplica
815021,Gemerský Jablonec
815039,Mikolčany
815047,Nováčany
815055,Geraltov
815071,Gerlachov
815098,Gerlachov
815101,Giglovce
815136,Giraltovce
815144,Girovce
815152,Glabušovce
815179,Gočaltovo
815187,Gočovo
815195,Golianovo
815209,Gondovo
815217,Gortva
815225,Bizovo
815233,Čenice
815250,Gôtovany
815268,Granč-Petrovce
815276,Gregorova Vieska
815284,Gregorovce
815292,Gribov
815306,Gyňov
815322,Habovka
815331,Habura
815349,Hačava
815365,Hačava
815373,Hágy
815381,Háj
815390,Hajná Nová Ves
815411,Hajnáčka
815446,Hájske
815462,Hajtovka
815471,Haláčovce
815489,Otrhánky
815501,Halič
815578,Haligovce
815586,Hámre
815594,Hamuliakovo
815608,Handlová
815675,Hanigovce
815691,Haniska
815705,Haniska
815713,Hanková
815721,Hankovce
815730,Hankovce
815748,Hanušovce nad Topľou
815764,Harakovce
815772,Harhaj
815781,Harichovce
815799,Harmanec
815802,Harvelka
815918,Hatalov
815926,Hatné
815942,Havaj
815951,Havka
815969,Havranec
815977,Hažín
815985,Hažlín
816001,Helcmanovce
816019,Heľpa
816027,Henckovce
816035,Henclová
816043,Hencovce
816051,Hendrichovce
816060,Herľany
816078,Žírovce
816086,Hermanovce
816094,Hermanovce nad Topľou
816108,Hertník
816116,Hervartov
816124,Hiadeľ
816132,Hincovce
816159,Hladovka
816175,Hlboké
816183,Hlboké nad Váhom
816191,Hliník nad Hronom
816221,Hlinné
816230,Hlivištia
816248,Hlohovec
816400,Hloža-Podhorie
816418,Hniezdne
816434,Hnilčík
816477,Hnilec
816507,Hnojné
816515,Hnúšťa
816558,Hodejov
816566,Hodejovec
816574,Hodkovce
816582,Hokovce
816591,Holčíkovce
816612,Dolné Holiare
816621,Horné Holiare
816639,Beketfa
816647,Čéfa
816655,Kostolná Gala
816663,Malá Budafa
816680,Póšfa
816698,Stará Gala
816701,Veľká Budafa
816710,Čentöfa
816728,Holíč
816850,Holiša
816884,Holumnica
816892,Honce
816906,Hontianska Vrbica
816914,Kostolné Moravce
816922,Opatové Moravce
816931,Hontianske Nemce
816957,Rakovec
816973,Hontianske Tesáre
817007,Horenice
817015,Medné
817023,Hôrka
817040,Hôrka
817104,Hôrka nad Váhom
817139,Hôrky
817147,Horňa
817163,Horná Breznica
817171,Horná Kráľová
817180,Horná Krupá
817201,Horná Lehota
817210,Horná Lehota
817287,Horná Mariková
817457,Horná Mičiná
817465,Horná Poruba
817490,Benkova Potôň
817503,Čečínska Potôň
817511,Horná Potôň
817520,Potônske Lúky
817571,Horná Seč
